0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:22 +0900] "GET /jv/resources/image/ex1254_1.jpg HTTP/1.1" 200 327786
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:22 +0900] "GET /jv/resources/image/ex1257_1.jpg HTTP/1.1" 200 246063
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:22 +0900] "GET /jv/resources/image/ex1258_1.jpg HTTP/1.1" 200 79808
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:26 +0900] "GET /jv HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:26 +0900] "GET /jv/ HTTP/1.1" 200 30663
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:26 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 36700160
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:11:26 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 33030144
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:26:02 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 10813440
0:0:0:0:0:0:0:1 - - [13/Nov/2022:17:26:02 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 29787170
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:02:33 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 27952162
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:02:34 +0900] "GET /jv/login HTTP/1.1" 200 15798
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:02:38 +0900] "POST /jv/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:02:38 +0900] "GET /jv HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:02:38 +0900] "GET /jv/ HTTP/1.1" 200 31262
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:02:40 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 59409442
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:02:40 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 33826
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:02:40 +0900] "GET /jv/resources/image/main_video_5.mp4 HTTP/1.1" 206 56229888
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:02:40 +0900] "GET /jv/mypageMain.me HTTP/1.1" 200 15366
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:02:42 +0900] "GET /jv/mypagePwdConfirm.me HTTP/1.1" 200 15307
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:02:47 +0900] "GET /jv/mypageMemUpdatePage.me HTTP/1.1" 200 20883
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:02:58 +0900] "GET /jv/mypageTicketing.me HTTP/1.1" 200 20384
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:02 +0900] "GET /jv/mypageQnA.me HTTP/1.1" 200 18789
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:11 +0900] "GET /jv/mypageQnADetail.me?qno=13 HTTP/1.1" 200 17181
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:18 +0900] "GET /jv/mypageQnADetail.me?qno=34 HTTP/1.1" 200 17256
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:23 +0900] "GET /jv/mypageQnADetail.me?qno=40 HTTP/1.1" 200 17221
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:30 +0900] "GET /jv/mypageQnA.me HTTP/1.1" 200 18789
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:33 +0900] "GET /jv/mypageReview.me?currentPage=1 HTTP/1.1" 200 17737
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:33 +0900] "GET /jv/resources/css/bootstrap.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:35 +0900] "GET /jv/mypageQnA.me HTTP/1.1" 200 18789
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:36 +0900] "GET /jv/mypageReview.me?currentPage=1 HTTP/1.1" 200 17737
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:36 +0900] "GET /jv/resources/css/bootstrap.css HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [13/Nov/2022:18:03:41 +0900] "GET /jv/mypageBookMarkList HTTP/1.1" 200 14485
